id,title,episodes,year,original_channel,im_db,start_year,end_year,new_title
617,Gilligan's Planet,13,1982,CBS,6,1982,NA,Gilligan's Planet
618,Ginger Snaps,9,2017,ABCd,6.8,2017,NA,Ginger Snaps
619,"Glenn Martin, DDS",40,2009-2011,Nick at Nite,4.4,2009,2011,"Glenn Martin, DDS"
620,Glitch Techs,19,2020,Netflix,7.7,2020,NA,Glitch Techs
621,The Glo Friends,26,1986-1987,Syndication,6.6,1986,1987,The Glo Friends
622,"Go Away, Unicorn!",52,2018-2019,Disney Channel,5.4,2018,2019,"Go Away, Unicorn!"
623,"Go, Baby!",10,2004,Playhouse Disney,7.3,2004,NA,"Go, Baby!"
624,"Go, Diego, Go!",80,2005-2011,Nickelodeon,4.3,2005,2011,"Go, Diego, Go!"
625,"Go, Dog. Go!",26,2021-present,Netflix,7.3,2021,NA,"Go, Dog. Go!"
626,Go Go Gophers,48,1968-1969,CBS,7.3,1968,1969,Go Go Gophers
627,Goober and the Ghost Chasers,16,1973,ABC,6.2,1973,NA,Goober and the Ghost Chasers
628,"God, the Devil and Bob",13,"2000, 2011",NBCAdult Swim,7.5,2000,NA,"God, the Devil and Bob"
630,Godzilla,26,1978-1979,NBC,6.2,1978,1979,Godzilla
631,Godzilla: The Series,40,1998-1999,Fox Kids,6.8,1998,1999,Godzilla: The Series
632,Golan the Insatiable,12,2013-2015,Fox,6.6,2013,2015,Golan the Insatiable
633,Goldie & Bear,107,2015-2018,Disney Junior,6.2,2015,2018,Goldie & Bear
634,Goldie Gold and Action Jack,13,1981,ABC,7.6,1981,NA,Goldie Gold and Action Jack
635,"Good Morning, Mickey!",80,1983-1992,The Disney Channel,7.2,1983,1992,"Good Morning, Mickey!"
636,Good Morning Today,20,2013-2014,Fusion TV,6.4,2013,2014,Good Morning Today
637,Good Vibes,13,2011,MTV,7.4,2011,NA,Good Vibes
638,The Goode Family,13,2009,ABC,6.4,2009,NA,The Goode Family
639,Goof Troop,78,1992,Syndication,6.8,1992,NA,Goof Troop
640,Gotham Girls,30,2000-2002,warnerbros.com,7.2,2000,2002,Gotham Girls
641,Gravedale High,13,1990,NBC,6.5,1990,NA,Gravedale High
642,Gravity Falls,40,2012-2016,Disney Channel (2012-14)Disney XD (2014-16),8.9,2012,2016,Gravity Falls
643,The Great Grape Ape Show,16,1975,ABC,6.9,1975,NA,The Great Grape Ape Show
644,The Great North,55,2021-present,Fox,6.8,2021,NA,The Great North
645,Greatest Party Story Ever,20,2016,MTV,7.9,2016,NA,Greatest Party Story Ever
646,Green Eggs and Ham,23,2019-2022,Netflix,8.1,2019,2022,Green Eggs and Ham
647,Green Lantern: The Animated Series,26,2011-2013,Cartoon Network,8,2011,2013,Green Lantern: The Animated Series
648,Gremlins: Secrets of the Mogwai,10,2023-present,Max,7.1,2023,NA,Gremlins: Secrets of the Mogwai
649,The Grim Adventures of Billy & Mandy,84,2003-2007,Cartoon Network,7.7,2003,2007,The Grim Adventures of Billy & Mandy
650,Grim & Evil,27,2001-2004,Cartoon Network,7.7,2001,2004,Grim & Evil
651,Grimsburg,1,2024-present,Fox,5.6,2024,NA,Grimsburg
652,Growing Up Creepie,26,2006-2008,Discovery Kids,7.1,2006,2008,Growing Up Creepie
653,The Guardians of Justice,9,2022,Netflix,5.1,2022,NA,The Guardians of Justice
654,Guardians of the Galaxy,79,2015-2019,Disney XD,7.3,2015,2019,Guardians of the Galaxy
655,The Gumby Show,43,1956,NBC,7,1956,NA,The Gumby Show
656,Hailey's On It!,15,2023-present,Disney Channel,7.2,2023,NA,Hailey's On It!
657,Hamster & Gretel,19,2022-present,Disney Channel,6.8,2022,NA,Hamster & Gretel
658,Hanazuki: Full of Treasures,35,2017-2019,YouTubeDiscovery Family,8,2017,2019,Hanazuki: Full of Treasures
659,The Hanna-Barbera New Cartoon Series,52,1962-1963,Syndication,7.6,1962,1963,The Hanna-Barbera New Cartoon Series
660,Hanna-Barbera's World of Super Adventure,129,1978-1984,Syndication,8.4,1978,1984,Hanna-Barbera's World of Super Adventure
661,Happily Ever After: Fairy Tales for Every Child,39,1995-2000,HBO,6.8,1995,2000,Happily Ever After: Fairy Tales for Every Child
663,Harlem Globetrotters,22,1970-1971,CBS,6.2,1970,1971,Harlem Globetrotters
664,HarmonQuest,30,2016-2019,SeesoVRV,8.3,2016,2019,HarmonQuest
665,Harriet the Spy,20,2021-present,Apple TV+,5.9,2021,NA,Harriet the Spy
666,Harley Quinn,47,2019-present,DC UniverseMax,8.4,2019,NA,Harley Quinn
667,Harold and the Purple Crayon,13,2001-2002,HBO Family,7.9,2001,2002,Harold and the Purple Crayon
668,The Harper House,10,2021,Paramount+,5.3,2021,NA,The Harper House
669,"Harvey Birdman, Attorney at Law",39,2000-2007,Adult Swim,8,2000,2007,"Harvey Birdman, Attorney at Law"
670,Harvey Girls Forever!,52,2018-2020,Netflix,6.9,2018,2020,Harvey Girls Forever!
671,The Harveytoons Show,78,1950-1964,Syndication,6.1,1950,1964,The Harveytoons Show
672,Have a Laugh!,60,2009-2012,Disney Channel,4.1,2009,2012,Have a Laugh!
673,Hazbin Hotel,8,2024-present,Amazon Prime Video,7.8,2024,NA,Hazbin Hotel
674,HBO Storybook Musicals,18,1987-1993,HBO,8.5,1987,1993,HBO Storybook Musicals
676,He-Man and the Masters of the Universe (1983),130,2002-2004,Syndication,7.5,2002,2004,He-Man and the Masters of the Universe
677,He-Man and the Masters of the Universe (2021),26,2021-2022,Netflix,6.9,2021,2022,He-Man and the Masters of the Universe
678,The Head,14,1994,MTV,7,1994,NA,The Head
679,Headspace Guide to Meditation,8,2021,Netflix,8.4,2021,NA,Headspace Guide to Meditation
680,Headspace Guide to Sleep,7,2021,Netflix,6.8,2021,NA,Headspace Guide to Sleep
681,Heathcliff (1980),26,1980-1981,ABC,6.5,1980,1981,Heathcliff
682,Heathcliff (1984),86,1984-1985,Syndication,6.6,1984,1985,Heathcliff
683,Hell Den,12,2019-2020,DrinkTVSyfy,5.5,2019,2020,Hell Den
684,Helluva Boss,15,2020-present,YouTube,8.2,2020,NA,Helluva Boss
685,Help!... It's the Hair Bear Bunch!,20,1976-1977,CBS,6.3,1976,1977,Help!... It's the Hair Bear Bunch!
686,Henry Hugglemonster,49,2013-2015,Disney Junior,5.3,2013,2015,Henry Hugglemonster
687,Hercules,65,1998-1999,ABC,6.6,1998,1999,Hercules
688,The Herculoids,18,1967-1968,CBS,7.4,1967,1968,The Herculoids
689,Here Comes the Grump,17,1969-1970,NBC,7.4,1969,1970,Here Comes the Grump
690,Hermie and Friends,16,2002-2010,Direct to video,7,2002,2010,Hermie and Friends
691,Hero High,26,1981-1982,NBC,6.9,1981,1982,Hero High
692,Hey Arnold!,100,1996-2004,Nickelodeon,7.6,1996,2004,Hey Arnold!
693,"Heyyy, It's the King!",13,1977,NBC,6,1977,NA,"Heyyy, It's the King!"
694,Hey Joel,13,2003,VH1,5.7,2003,NA,Hey Joel
695,Hey Monie!,25,2003,BET,8.1,2003,NA,Hey Monie!
696,Hi Hi Puffy AmiYumi,39,2004-2006,Cartoon Network,6.3,2004,2006,Hi Hi Puffy AmiYumi
697,Higglytown Heroes,65,2004-2008,Playhouse Disney,4.9,2004,2008,Higglytown Heroes
698,The High Fructose Adventures of Annoying Orange,60,2012-2014,Cartoon Network,1.9,2012,2014,The High Fructose Adventures of Annoying Orange
699,High Guardian Spice,12,2021,Crunchyroll,1.5,2021,NA,High Guardian Spice
700,The Hillbilly Bears,26,1965-1967,NBC,6.7,1965,1967,The Hillbilly Bears
701,Histeria!,52,1998-2000,Kids' WB,7.7,1998,2000,Histeria!
702,Hit-Monkey,10,2021,Hulu,7.8,2021,NA,Hit-Monkey
703,HobbyKids Adventures,27,2019-2020,YouTube,3.3,2019,2020,HobbyKids Adventures
704,Hokey Wolf,28,1960-1961,Syndication,6.4,1960,1961,Hokey Wolf
705,Holly Hobbie & Friends,8,2006-2009,Nickelodeon,7.6,2006,2009,Holly Hobbie & Friends
706,Home: Adventures with Tip & Oh,52,2016-2018,Netflix,6.2,2016,2018,Home: Adventures with Tip & Oh
707,Home Movies,52,1999-2004,UPNAdult Swim,8.2,1999,2004,Home Movies
708,Hoops,10,2020,Netflix,6,2020,NA,Hoops
709,Hong Kong Phooey,16,1974,ABC,6.9,1974,NA,Hong Kong Phooey
710,Hopeless Pictures,9,2005,IFC,7.1,2005,NA,Hopeless Pictures
711,Hoppity Hooper,104,1964-1967,ABC,7.8,1964,1967,Hoppity Hooper
712,Horseland,45,2006-2008,CBS,6,2006,2008,Horseland
713,Hot Streets,20,2018-2019,Adult Swim,5.9,2018,2019,Hot Streets
714,Hot Wheels,17,1969-1971,ABC,7.4,1969,1971,Hot Wheels
715,Hot Wheels Let's Race,10,2024,Netflix,7.5,2024,NA,Hot Wheels Let's Race
716,The Houndcats,13,1972,NBC,7,1972,NA,The Houndcats
717,House of Cosbys,4,2005,Channel 101,7.3,2005,NA,House of Cosbys
718,House of Mouse,52,2001-2003,"ABC
Toon Disney",7.5,2001,2003,House of Mouse
719,HouseBroken,26,2021-present,Fox,6.4,2021,NA,HouseBroken
720,How to Stay at Home,3,2021,Disney+,6.7,2021,NA,How to Stay at Home
721,The Huckleberry Hound Show,57,1958-1961,Syndication,6.6,1958,1961,The Huckleberry Hound Show
722,Hulk Hogan's Rock 'n' Wrestling,26,1985-1986,CBS,6.1,1985,1986,Hulk Hogan's Rock 'n' Wrestling
723,Human Discoveries,10,2019,Facebook Watch,7,2019,NA,Human Discoveries
724,Human Kind Of,21,2018,Facebook Watch,7.3,2018,NA,Human Kind Of
725,Human Resources,20,2022-2023,Netflix,7.1,2022,2023,Human Resources
726,Hammerman,13,1991-1992,ABC,3.9,1991,1992,Hammerman
727,Handy Manny,113,2006-2013,Playhouse Disney,5.6,2006,2013,Handy Manny
728,Happy Monster Band,20,2007-2008,Playhouse Disney,7.5,2007,2008,Happy Monster Band
730,Happy Tree Friends,13,2006,G4,7,2006,NA,Happy Tree Friends
731,Harvey Beaks,52,2015-2017,Nickelodeon,7.1,2015,2017,Harvey Beaks
732,He-Man and the Masters of the Universe (2002),39,2002-2004,Cartoon Network,7.5,2002,2004,He-Man and the Masters of the Universe
733,Hello Kitty's Furry Tale Theater,13,1987,CBS,6.6,1987,NA,Hello Kitty's Furry Tale Theater
734,Hero Elementary,40,2020-2022,PBS Kids,7.5,2020,2022,Hero Elementary
735,Hero Factory,11,2010-2014,Nicktoons,5.3,2010,2014,Hero Factory
736,Hero: 108,52,2010-2012,Cartoon Network,5.8,2010,2012,Hero: 108
737,High School USA!,12,2013-2015,Fox,6.3,2013,2015,High School USA!
738,Hilda,39,2018-2023,Netflix,8.6,2018,2023,Hilda
739,The Hot Rod Dogs and Cool Car Cats,7,1995-1996,CITV,7.8,1995,1996,The Hot Rod Dogs and Cool Car Cats
740,Hot Wheels Battle Force 5,52,2009-2011,Cartoon Network,5.8,2009,2011,Hot Wheels Battle Force 5
741,Hotel Transylvania: The Series,26,2017-2020,Disney Channel,5.6,2017,2020,Hotel Transylvania: The Series
742,I Am Groot,5,2022-present,Disney+,6.7,2022,NA,I Am Groot
743,I Am the Greatest: The Adventures of Muhammad Ali,13,1977,NBC,6.6,1977,NA,I Am the Greatest: The Adventures of Muhammad Ali
744,I Am Weasel,79,1997-2000,Cartoon Network,6.5,1997,2000,I Am Weasel
745,I Got a Rocket,26,2006-2007,Kabillion,6.4,2006,2007,I Got a Rocket
746,I Heart Arlo,19,2021,Netflix,7,2021,NA,I Heart Arlo
747,I Spy,52,2002-2003,HBO Family,5.4,2002,2003,I Spy
748,Ice Age: Scrat Tales,6,2022,Disney+,7.3,2022,NA,Ice Age: Scrat Tales
749,Iconicles,26,2011,Discovery Familia,8.8,2011,NA,Iconicles
750,If You Give a Mouse a Cookie,50,2017-2021,Amazon Prime Video,6.7,2017,2021,If You Give a Mouse a Cookie
751,Iggy Arbuckle,26,2007,Animalia HD,4.9,2007,NA,Iggy Arbuckle
752,Imaginary Mary,9,2017,ABC,5.5,2017,NA,Imaginary Mary
753,The Impossibles,18,1966-1967,CBS,7.5,1966,1967,The Impossibles
754,In the Bleachers,28,2002,ESPN,5.4,2002,NA,In the Bleachers
755,In the Know,6,2024-present,Peacock,6.8,2024,NA,In the Know
756,"Inch High, Private Eye",13,1973,NBC,6.4,1973,NA,"Inch High, Private Eye"
758,The Incredible Hulk (1982),13,1982-1983,NBC,6.7,1982,1983,The Incredible Hulk
759,The Incredible Hulk (1996),21,1996-1997,UPN,6.7,1996,1997,The Incredible Hulk
760,Infinity Train,40,2019-2021,Cartoon Network (2019)HBO Max (2020-2022),8.4,2019,2021,Infinity Train
761,The Ink and Paint Club,60,1997-1998,The Disney Channel,8.5,1997,1998,The Ink and Paint Club
762,Inhumanoids,13,1986,Syndication,7.3,1986,NA,Inhumanoids
763,Inside Job,18,2021-2022,Netflix,8.2,2021,2022,Inside Job
764,Inspector Gadget,86,1983-1986,Syndication,6.8,1983,1986,Inspector Gadget
765,Inspector Gadget's Field Trip,22,1996-1998,The History Channel,8.1,1996,1998,Inspector Gadget's Field Trip
766,Interrupting Chicken,9,2022-present,Apple TV+,6.7,2022,NA,Interrupting Chicken
767,Invader Zim,27,2001-2006,Nickelodeon,8.4,2001,2006,Invader Zim
768,Invasion America,13,1998,The WB,7.5,1998,NA,Invasion America
769,Invincible,9,2021-present,Amazon Prime Video,8.7,2021,NA,Invincible
770,Iron Man,26,1994-1996,Syndication,7.9,1994,1996,Iron Man
771,Iron Man: Armored Adventures,52,2009-2012,Nicktoons,6.5,2009,2012,Iron Man: Armored Adventures
772,It's a Small World: The Animated Series,9,2013-2014,Disney.com,6.7,2013,2014,It's a Small World: The Animated Series
773,It's Pony,46,2020-2022,Nickelodeon,6.3,2020,2022,It's Pony
774,It's Punky Brewster,26,1985-1986,NBC,6.3,1985,1986,It's Punky Brewster
775,The Itsy Bitsy Spider,26,1993-1996,USA Network,7.1,1993,1996,The Itsy Bitsy Spider
776,Jabberjaw,16,1976,ABC,5.9,1976,NA,Jabberjaw
777,Jackie Chan Adventures,95,2000-2005,Kids' WB,7.4,2000,2005,Jackie Chan Adventures
778,The Jackson 5ive,23,1971-1972,ABC,6.6,1971,1972,The Jackson 5ive
779,Jake and the Never Land Pirates,116,2011-2016,Disney Junior,5.7,2011,2016,Jake and the Never Land Pirates
780,Jakers! The Adventures of Piggley Winks,52,2003-2007,PBS Kids,6.8,2003,2007,Jakers! The Adventures of Piggley Winks
781,James Bond Jr.,65,1991-1992,Syndication,6,1991,1992,James Bond Jr.
782,Jana of the Jungle,13,1978,NBC,7.4,1978,NA,Jana of the Jungle
783,Jay Jay the Jet Plane,62,1998-2005,TLCPBS Kids,3.7,1998,2005,Jay Jay the Jet Plane
784,Jeannie,16,1973,CBS,5.9,1973,NA,Jeannie
785,Jeff & Some Aliens,10,2017,Comedy Central,8,2017,NA,Jeff & Some Aliens
786,The Jellies!,20,2017-2019,Adult Swim,6.3,2017,2019,The Jellies!
787,"Jelly, Ben, & Pogo",23,2021-2022,PBS Kids,9.3,2021,2022,"Jelly, Ben, & Pogo"
788,Jellystone!,40,2021-present,HBO Max,6.4,2021,NA,Jellystone!
789,Jem,65,1985-1988,Syndication,7.4,1985,1988,Jem
790,Jessy and Nessy,20,2020-2021,Amazon Prime Video,8.6,2020,2021,Jessy and Nessy
791,Jessica's Big Little World,10,2023-present,Cartoonito,7.5,2023,NA,Jessica's Big Little World
792,The Jetsons,75,"1962-1963, 1985-1987",ABCSyndication,7,1962,1963,The Jetsons
793,Jim and Judy in Teleland,52,1949-1950,Syndication,3.2,1949,1950,Jim and Judy in Teleland
795,JJ Villard's Fairy Tales,6,2020,Adult Swim,5.8,2020,NA,JJ Villard's Fairy Tales
796,Johnny Bravo,65,1997-2004,Cartoon Network,7.2,1997,2004,Johnny Bravo
797,Johnny Cypher in Dimension Zero,131,1967-1968,Syndication,6.4,1967,1968,Johnny Cypher in Dimension Zero
798,Johnny Test,117,2005-2014,The WB (Kids' WB) (2005-2008)Cartoon Network (2009-2014),5.2,2005,2014,Johnny Test
799,JoJo's Circus,63,2003-2007,Playhouse Disney,5.1,2003,2007,JoJo's Circus
800,Jokebook,3,1982,NBC,6.4,1982,NA,Jokebook
801,Jonny Quest,26,1964-1965,ABC,7.8,1964,1965,Jonny Quest
802,Josie and the Pussycats,32,1970-1972,CBS,6.2,1970,1972,Josie and the Pussycats
803,JOT,30,1965-1974,Syndication,7.3,1965,1974,JOT
804,Julius Jr.,52,2013-2015,Nick Jr.,5.9,2013,2015,Julius Jr.
805,Jumanji,40,1996-1999,UPNSyndication,6.3,1996,1999,Jumanji
806,Jungle Cubs,21,1996-1998,ABC,6.1,1996,1998,Jungle Cubs
807,Jungle Junction,47,2009-2012,Playhouse Disney,5.5,2009,2012,Jungle Junction
808,Jurassic World Camp Cretaceous,49,2020-2022,Netflix,7.5,2020,2022,Jurassic World Camp Cretaceous
809,Justice League,52,2001-2004,Cartoon Network,8.6,2001,2004,Justice League
810,Justice League Action,52,2016-2018,Cartoon Network,7.5,2016,2018,Justice League Action
811,Justice League Unlimited,39,2004-2006,Cartoon Network,8.7,2004,2006,Justice League Unlimited
812,Justice League: Gods and Monsters Chronicles,3,2015,Machinima,7.5,2015,NA,Justice League: Gods and Monsters Chronicles
813,KaBlam!,48,1996-2000,Nickelodeon,7.8,1996,2000,KaBlam!
814,Kaijudo,52,2012-2013,The Hub Network,6.6,2012,2013,Kaijudo
815,Kamp Koral: SpongeBob's Under Years,26,2021-present,Paramount+,3.6,2021,NA,Kamp Koral: SpongeBob's Under Years
816,Kappa Mikey,52,2006-2008,Nicktoons Network,6.6,2006,2008,Kappa Mikey
817,The Karate Kid,13,1989,NBC,4.8,1989,NA,The Karate Kid
818,Karate Kommandos,5,1986,Syndication,5.6,1986,NA,Karate Kommandos
819,Karma's World,40,2021-2022,Netflix,6.9,2021,2022,Karma's World
820,Kenny the Shark,26,2003-2005,Discovery Kids,6.7,2003,2005,Kenny the Shark
821,Kick Buttowski: Suburban Daredevil,54,2010-2012,Disney XD,6.7,2010,2012,Kick Buttowski: Suburban Daredevil
822,Kid Cosmic,24,2021-2022,Netflix,7.9,2021,2022,Kid Cosmic
823,Kid Notorious,13,2003,Comedy Central,7.7,2003,NA,Kid Notorious
824,Kid 'n Play,13,1990,NBC,5.8,1990,NA,Kid 'n Play
825,The Kid Super Power Hour with Shazam!,36,1981-1982,NBC,6.3,1981,1982,The Kid Super Power Hour with Shazam!
827,The Kids from Room 402,52,2000-2001,Fox Family,8.2,2000,2001,The Kids from Room 402
828,Kinderwood,30,2020-2021,Noggin,8.2,2020,2021,Kinderwood
829,Kizazi Moto: Generation Fire,10,2023,Disney+,6.9,2023,NA,Kizazi Moto: Generation Fire
830,Kiff,19,2023-present,Disney Channel,7.5,2023,NA,Kiff
831,Kim Possible,92,2002-2007,Disney Channel,7.2,2002,2007,Kim Possible
832,King Arthur and the Knights of Justice,26,1992-1993,Syndication,7.1,1992,1993,King Arthur and the Knights of Justice
833,The King Kong Show,25,1966-1969,ABC,6.5,1966,1969,The King Kong Show
834,King Leonardo and His Short Subjects,102,1960-1963,NBC,7.3,1960,1963,King Leonardo and His Short Subjects
835,King of the Hill,259,1997-present,Fox,7.5,1997,NA,King of the Hill
836,King Star King,6,2014,Adult Swim,5.6,2014,NA,King Star King
837,Kings of Atlantis,13,2017,YouTube Premium,6.5,2017,NA,Kings of Atlantis
838,Kipo and the Age of Wonderbeasts,30,2020,Netflix,8.3,2020,NA,Kipo and the Age of Wonderbeasts
839,Kissyfur,26,1986-1988,NBC,7.5,1986,1988,Kissyfur
840,Kitti Katz,10,2023-present,Netflix,6.7,2023,NA,Kitti Katz
841,Kiya & the Kimoja Heroes,18,2023-present,Disney Junior,6.7,2023,NA,Kiya & the Kimoja Heroes
842,Klondike Kat,26,1966-1967,CBS,5.8,1966,1967,Klondike Kat
843,Klutter!,8,1995-1996,Fox Kids,7.1,1995,1996,Klutter!
844,Koala Man,8,2023,Hulu,6.8,2023,NA,Koala Man
845,Kong: King of the Apes,23,2016-2018,Netflix,5.8,2016,2018,Kong: King of the Apes
846,Krapopolis,13,2023-present,Fox,6.2,2023,NA,Krapopolis
847,Krypto the Superdog,39,2005-2006,Cartoon Network,5.6,2005,2006,Krypto the Superdog
848,Kulipari,23,2016-present,NetflixHulu,6.8,2016,NA,Kulipari
849,Kung Fu Panda: The Dragon Knight,23,2022-2023,Netflix,6.1,2022,2023,Kung Fu Panda: The Dragon Knight
850,Kung Fu Panda: Legends of Awesomeness,80,2011-2016,Nickelodeon,7,2011,2016,Kung Fu Panda: Legends of Awesomeness
851,Kung Fu Panda: The Paws of Destiny,26,2018-2019,Amazon Prime Video,7.3,2018,2019,Kung Fu Panda: The Paws of Destiny
852,Kuu Kuu Harajuku,78,2015-2019,Nickelodeon,3.6,2015,2019,Kuu Kuu Harajuku
853,The Kwicky Koala Show,16,1981,CBS,6.5,1981,NA,The Kwicky Koala Show
854,Lady Lovely Locks,20,1987,Syndication,7.8,1987,NA,Lady Lovely Locks
855,Laff-A-Lympics,24,1977-1978,ABC,7.4,1977,1978,Laff-A-Lympics
856,Lalaloopsy,52,2013-2015,Nick Jr.,4.5,2013,2015,Lalaloopsy
857,The Land Before Time,26,2007-2008,Cartoon Network,6.4,2007,2008,The Land Before Time
858,Larryboy: The Cartoon Adventures,4,2002-2003,Direct to video,6.7,2002,2003,Larryboy: The Cartoon Adventures
859,Lassie,52,2014-2019,Paramount+,7.4,2014,2019,Lassie
860,Lassie's Rescue Rangers,16,1972-1973,ABC,6.6,1972,1973,Lassie's Rescue Rangers
861,The Last Kids on Earth,21,2019-2021,Netflix,7.2,2019,2021,The Last Kids on Earth
862,Laurel and Hardy,156,1966-1967,NBC,6.7,1966,1967,Laurel and Hardy
863,Laverne & Shirley,21,1981-1982,ABC,7,1981,1982,Laverne & Shirley
864,Lazer Tag Academy,13,1986,NBC,6.5,1986,NA,Lazer Tag Academy
865,Lazor Wulf,10,2019-2021,Adult Swim,5.4,2019,2021,Lazor Wulf
866,Leader Dog,13,2004,Nicktoons,7.5,2004,NA,Leader Dog
867,The Legend of Calamity Jane,13,1997-1998,Kids' WB,7.2,1997,1998,The Legend of Calamity Jane
868,The Legend of Korra,52,2012-2014,Nickelodeon,8.3,2012,2014,The Legend of Korra
869,The Legend of Prince Valiant,65,1991-1993,Kids' WB,7.4,1991,1993,The Legend of Prince Valiant
870,The Legend of Tarzan,39,2001-2003,UPN,6.2,2001,2003,The Legend of Tarzan
871,Legend of the Three Caballeros,13,2018,Disney Channel,7.7,2018,NA,Legend of the Three Caballeros
872,The Legend of Vox Machina,24,2022-present,Amazon Prime Video,8.4,2022,NA,The Legend of Vox Machina
873,Legends of Chamberlain Heights,20,2016-2017,Comedy Central,4.9,2016,2017,Legends of Chamberlain Heights
874,Legion of Super Heroes,26,2005-2006,Kids' WB,7.1,2005,2006,Legion of Super Heroes
875,Lego Bionicle: The Journey to One,4,2016,Netflix,5.4,2016,NA,Lego Bionicle: The Journey to One
876,Lego City Adventures,65,2019-2022,NickelodeonNetflixYouTube,6.8,2019,2022,Lego City Adventures
877,Lego Elves: Secrets of Elvendale,8,2017,Netflix,6.5,2017,NA,Lego Elves: Secrets of Elvendale
878,Lego Friends: The Power of Friendship,4,2016,Netflix,7,2016,NA,Lego Friends: The Power of Friendship
879,Lego Jurassic World: Legend of Isla Nublar,13,2019,Nickelodeon,6.8,2019,NA,Lego Jurassic World: Legend of Isla Nublar
880,Lego Star Wars: Droid Tales,5,2015,Disney XD,7.4,2015,NA,Lego Star Wars: Droid Tales
881,Lego Star Wars: The Freemaker Adventures,26,2016-2017,Disney XD,7.3,2016,2017,Lego Star Wars: The Freemaker Adventures
882,Lego Star Wars: The Resistance Rises,5,2016,Disney XD,6.2,2016,NA,Lego Star Wars: The Resistance Rises
883,Let's Go Luna!,64,2018-2022,PBS Kids,7.7,2018,2022,Let's Go Luna!
884,The Liberator,4,2020,Netflix,7.6,2020,NA,The Liberator
885,Liberty's Kids,40,2002-2003,PBS Kids,7.9,2002,2003,Liberty's Kids
886,The Life and Times of Juniper Lee,40,2005-2007,Cartoon Network,6.6,2005,2007,The Life and Times of Juniper Lee
887,The Life & Times of Tim,30,2008-2012,HBO,8.3,2008,2012,The Life & Times of Tim
888,Life with Louie,39,1995-1998,Fox Kids,8.3,1995,1998,Life with Louie
889,"Like, Share, Die",16,2015,Fusion TV,5.7,2015,NA,"Like, Share, Die"
890,Lilo & Stitch: The Series,67,2003-2006,Disney Channel,6.8,2003,2006,Lilo & Stitch: The Series
891,Lil' Bush,17,2007-2008,Comedy Central,5.1,2007,2008,Lil' Bush
892,Linus the Lionhearted,39,1964-1969,CBSABC,6.9,1964,1969,Linus the Lionhearted
893,The Lion Guard,74,2015-2019,Disney Junior,6.4,2015,2019,The Lion Guard
894,Lippy the Lion and Hardy Har Har,52,1962-1963,Syndication,6.4,1962,1963,Lippy the Lion and Hardy Har Har
895,Liquid Television,27,1991-1995,MTV,8,1991,1995,Liquid Television
896,Little Big Awesome,13,2018,Amazon Prime Video,7,2018,NA,Little Big Awesome
897,Little Bill,52,1999-2004,Nickelodeon,6.3,1999,2004,Little Bill
898,The Little Clowns of Happytown,18,1987-1988,ABC,5.1,1987,1988,The Little Clowns of Happytown
899,A Little Curious,43,1999-2000,HBO,7.3,1999,2000,A Little Curious
900,Little Demon,10,2022,FXX,7,2022,NA,Little Demon
901,Little Dracula,10,1991-1999,Fox Kids,6.2,1991,1999,Little Dracula
902,Little Einsteins,67,2005-2009,Playhouse Disney,6.3,2005,2009,Little Einsteins
903,Little Ellen,20,2021-2022,Cartoonito,1.9,2021,2022,Little Ellen
904,The Little Lulu Show,52,1995-1999,HBO,7.2,1995,1999,The Little Lulu Show
905,The Little Mermaid,31,1992-1994,CBS,6.7,1992,1994,The Little Mermaid
906,Little Mouse on the Prairie,26,1996,Fox Kids,6.9,1996,NA,Little Mouse on the Prairie
907,Little Muppet Monsters,13,1985,CBS,7.5,1985,NA,Little Muppet Monsters
908,Little People,52,2016-2018,Sprout,6.8,2016,2018,Little People
909,The Little Rascals,22,1982-1983,ABC,5.7,1982,1983,The Little Rascals
910,Little Rosey,18,1990-1991,ABC,5.7,1990,1991,Little Rosey
911,Little Shop,13,1991,Fox Kids,4.1,1991,NA,Little Shop
912,Little Wizards,13,1987-1988,ABC,7.1,1987,1988,Little Wizards
913,The Littles,29,1983-1985,ABC,6.5,1983,1985,The Littles
914,Littlest Pet Shop (1995),40,1995,Syndication,6.5,1995,NA,Littlest Pet Shop
915,Littlest Pet Shop (2012),104,2012-2016,The Hub Network / Discovery Family,6.3,2012,2016,Littlest Pet Shop
916,Littlest Pet Shop: A World of Our Own,52,2018-2019,Discovery Family,7,2018,2019,Littlest Pet Shop: A World of Our Own
917,Liverspots and Astronots,21,2018,Facebook Watch,5.9,2018,NA,Liverspots and Astronots
918,Llama Llama,25,2018-2019,Netflix,6.4,2018,2019,Llama Llama
919,Lloyd in Space,39,2001-2004,ABCToon Disney,6.6,2001,2004,Lloyd in Space
920,Loafy,8,2020,Comedy Central,6.9,2020,NA,Loafy
921,The Lone Ranger,26,1966-1969,CBS,7.2,1966,1969,The Lone Ranger
922,Long Ago and Far Away,35,1989-1992,PBS,8.7,1989,1992,Long Ago and Far Away
923,Long Live the Royals,4,2015,Cartoon Network,6.8,2015,NA,Long Live the Royals
924,Loonatics Unleashed,26,2006-2008,Kids' WB,5.7,2006,2008,Loonatics Unleashed
925,Looney Tunes Cartoons,72,2020-2023,HBO Max,8,2020,2023,Looney Tunes Cartoons
926,The Looney Tunes Show,52,2011-2013,Cartoon Network,7.7,2011,2013,The Looney Tunes Show
